love	sex	6.77	0.3495809907713184
tiger	cat	7.35	0.6754735680312774
tiger	tiger	10.00	1.0000000000000002
book	paper	7.46	0.4058344038112881
computer	keyboard	7.62	0.4371667116025485
computer	internet	7.58	0.4092737403366186
plane	car	5.77	0.4014458477994915
train	car	6.31	0.4880833449338468
telephone	communication	7.50	0.3497626624972494
television	radio	6.77	0.6697611789109572
media	radio	7.42	0.3423459087800724
drug	abuse	6.85	0.4302177381593683
bread	butter	6.19	0.8190133001743733
cucumber	potato	5.92	-1
doctor	nurse	7.00	0.6150813030821108
professor	doctor	6.62	0.4732963291342139
student	professor	6.81	0.43720835130013713
smart	student	4.62	0.09734782332659409
smart	stupid	5.81	0.4470658236791601
company	stock	7.08	0.5010741015231746
stock	market	8.08	0.5481229990317659
stock	phone	1.62	0.21853029103865224
stock	CD	1.31	0.1276911985206687
stock	jaguar	0.92	-1
stock	egg	1.81	0.11878998050880456
fertility	egg	6.69	0.34073128325338137
stock	live	3.73	-0.07215505468231814
stock	life	0.92	0.03353616842285935
book	library	7.46	0.24528022679752234
bank	money	8.12	0.27013296503679557
wood	forest	7.73	0.3838545068999696
money	cash	9.15	0.6268539400581609
professor	cucumber	0.31	-1
king	cabbage	0.23	0.03354522890229873
king	queen	8.58	0.669264049645711
king	rook	5.92	0.3770020837950526
bishop	rabbi	6.69	0.5385657648642698
Jerusalem	Israel	8.46	0.39647632832320107
Jerusalem	Palestinian	7.65	0.27844397193294174
holy	sex	1.62	0.1345690356038204
fuck	sex	9.44	0.10821684524964555
Maradona	football	8.62	0.3106597214980729
football	soccer	9.03	0.6649092770101698
football	basketball	6.81	0.6448353183349679
football	tennis	6.63	0.46699341331523764
tennis	racket	7.56	-1
Arafat	peace	6.73	0.04583468816406354
Arafat	terror	7.65	0.051066177737877694
Arafat	Jackson	2.50	0.2754188923419579
law	lawyer	8.38	0.38931845252160824
movie	star	7.38	0.3437315184308895
movie	popcorn	6.19	0.09899797044818576
movie	critic	6.73	0.20230543783839938
movie	theater	7.92	0.40343901899738244
physics	proton	8.12	0.26973522465640204
physics	chemistry	7.35	0.7827230934490077
space	chemistry	4.88	0.23459739239913338
alcohol	chemistry	5.54	0.236199840322567
vodka	gin	8.46	0.34708820775215815
vodka	brandy	8.13	0.3974435613034775
drink	car	3.04	0.19786745414582238
drink	ear	1.31	0.09911335909158826
drink	mouth	5.96	0.2678137757689774
drink	eat	6.87	0.7002481033822058
baby	mother	7.85	0.5460481485306808
drink	mother	2.65	0.23429156886755972
car	automobile	8.94	0.47738180100237865
gem	jewel	8.96	0.16479695935556823
journey	voyage	9.29	0.6363757998561592
boy	lad	8.83	0.5470341150685739
coast	shore	9.10	0.7254270221735623
asylum	madhouse	8.87	-1
magician	wizard	9.02	0.42649646709812855
midday	noon	9.29	0.6880116535447331
furnace	stove	8.79	0.3907396819793423
food	fruit	7.52	0.5788732565693366
bird	cock	7.10	0.39284198551757454
bird	crane	7.38	0.31953993753144816
tool	implement	6.46	0.41356079199740337
brother	monk	6.27	0.26332395434886374
crane	implement	2.69	0.13288567906319218
lad	brother	4.46	0.2701963448606514
journey	car	5.85	0.15996938617943673
monk	oracle	5.00	0.33921326584447087
cemetery	woodland	2.08	0.3650783576448243
food	rooster	4.42	0.2701712129937953
coast	hill	4.38	0.40318912924828515
forest	graveyard	1.85	0.2409943935790674
shore	woodland	3.08	0.40342931171274915
monk	slave	0.92	0.3168464988494794
coast	forest	3.15	0.31476064739980225
lad	wizard	0.92	0.3808856424151502
chord	smile	0.54	0.31864415817854075
glass	magician	2.08	0.21374243983316124
noon	string	0.54	-0.002520675931753935
rooster	voyage	0.62	-0.00243298226469205
money	dollar	8.42	0.3370742711628342
money	cash	9.08	0.6268539400581609
money	currency	9.04	0.31206572640052804
money	wealth	8.27	0.47189520891743103
money	property	7.57	0.40900446336340496
money	possession	7.29	0.27303876362616203
money	bank	8.50	0.27013296503679557
money	deposit	7.73	0.3793755477586662
money	withdrawal	6.88	0.09110955113990443
money	laundering	5.65	0.3202641832486821
money	operation	3.31	0.03126643742222306
tiger	jaguar	8.00	-1
tiger	feline	8.00	0.3345627318652246
tiger	carnivore	7.08	-1
tiger	mammal	6.85	0.3913400449947123
tiger	animal	7.00	0.5498613402213619
tiger	organism	4.77	0.2864818664087871
tiger	fauna	5.62	0.3861365341322078
tiger	zoo	5.87	0.3160029170221259
psychology	psychiatry	8.08	0.6950453993559319
psychology	anxiety	7.00	0.4479816600244247
psychology	fear	6.85	0.13485660272154237
psychology	depression	7.42	0.3503477337904082
psychology	clinic	6.58	0.33787771305728315
psychology	doctor	6.42	0.33774553253118006
psychology	Freud	8.21	0.4929652765687593
psychology	mind	7.69	0.34482997209694255
psychology	health	7.23	0.31546892679400024
psychology	science	6.71	0.6589476341446827
psychology	discipline	5.58	0.573089775632096
psychology	cognition	7.48	0.6271691608971425
planet	star	8.45	0.3832968654097464
planet	constellation	8.06	0.44208409252215297
planet	moon	8.08	0.6025167084427435
planet	sun	8.02	0.5416459486613803
planet	galaxy	8.11	0.6042538563994406
planet	space	7.92	0.31272282116692873
planet	astronomer	7.94	0.013784746880319963
precedent	example	5.85	0.29536638335402593
precedent	information	3.85	0.23052012351620874
precedent	cognition	2.81	0.2623672819911947
precedent	law	6.65	0.37731296554779725
precedent	collection	2.50	0.09804848878410145
precedent	group	1.77	0.040238791621489786
precedent	antecedent	6.04	-1
cup	coffee	6.58	0.3596822983194641
cup	tableware	6.85	0.36235432694206227
cup	article	2.40	-0.05918235528666787
cup	artifact	2.92	-0.05463339057262969
cup	object	3.69	0.09902608921842543
cup	entity	2.15	0.11117293626719822
cup	drink	7.25	0.21712562688645295
cup	food	5.00	0.1826008853319157
cup	substance	1.92	-0.029220097725533137
cup	liquid	5.90	0.04869838769821016
jaguar	cat	7.42	-1
jaguar	car	7.27	-1
energy	secretary	1.81	-0.07097882873402092
secretary	senate	5.06	0.27939967181017356
energy	laboratory	5.09	0.23066710628512285
computer	laboratory	6.78	0.40958700995558917
weapon	secret	6.06	0.31806857755073037
FBI	fingerprint	6.94	0.20652250798865848
FBI	investigation	8.31	0.5056956000726347
investigation	effort	4.59	0.2897998772366346
Mars	water	2.94	0.08165619724712044
Mars	scientist	5.63	0.12502535059278697
